Iteración,Time,Initial residual,Final residual,N_iterations,Exc_time
1,1,1,0.00994322,7410,43.4054 
2,2,0.0759529,0.000757847,6878,78.1043 
3,3,0.051668,0.000515429,5917,108.29 
4,4,0.0448787,0.000447585,5506,136.336 
5,5,0.0406351,0.00040513,5182,162.674 
6,6,0.0365975,0.00036457,4983,188.119 
7,7,0.0327334,0.000326057,4779,212.745 
8,8,0.0299805,0.000299415,3400,230.444 
9,9,0.0281038,0.000280369,3498,248.596 
10,10,0.0263891,0.000263482,3656,267.573 
11,11,0.0251205,0.000250608,4064,288.562 
12,12,0.0242203,0.000242098,4202,310.081 
13,13,0.0236598,0.000235405,3908,330.364 
14,14,0.0232431,0.000232002,3338,347.773 
15,15,0.0227145,0.000226988,3240,364.734 
16,16,0.0221949,0.000221716,3147,381.261 
17,17,0.0215589,0.000215214,3134,397.678 
18,18,0.0208229,0.000208033,3114,414.046 
19,19,0.020146,0.000200976,3040,430.057 
20,20,0.0196388,0.000194969,2995,445.885 
21,21,0.0191168,0.000190667,2953,461.236 
22,22,0.0185116,0.00018446,2926,476.587 
23,23,0.0179017,0.000178521,3121,492.82 
24,24,0.017294,0.000172918,3191,509.55 
25,25,0.0167193,0.000166575,3138,525.96 
26,26,0.016235,0.000161206,3055,541.931 
27,27,0.015802,0.000157169,3009,557.739 
28,28,0.0153781,0.000153332,2963,573.274 
29,29,0.0148695,0.000148317,2971,588.935 
30,30,0.0143992,0.000143603,3019,604.624 
31,31,0.0139494,0.000139372,3084,620.662 
32,32,0.0135351,0.000135127,3057,636.685 
33,33,0.0131073,0.000130899,3201,653.501 
34,34,0.0127691,0.000127647,3245,670.369 
35,35,0.0124252,0.000123573,2999,686.16 
36,36,0.0120411,0.000120288,2958,701.654 
37,37,0.0116653,0.00011635,2917,716.96 
38,38,0.0112797,0.000112764,2643,730.82 
39,39,0.0108661,0.000108525,2531,744.241 
40,40,0.0104461,0.000104275,2432,757.09 
41,41,0.0100501,9.97943e-05,2450,770.016 
42,42,0.00974726,9.73333e-05,2418,782.913 
43,43,0.00943145,9.40906e-05,2355,795.379 
44,44,0.00914546,9.07195e-05,2372,808.006 
45,45,0.00885161,8.75106e-05,2459,820.98 
46,46,0.00853363,8.52916e-05,2505,834.165 
47,47,0.0082182,8.18473e-05,2550,847.624 
48,48,0.00790712,7.90147e-05,2513,860.912 
49,49,0.00762769,7.58836e-05,2354,873.456 
50,50,0.00738278,7.2918e-05,2175,885.188 
51,51,0.00713606,7.08017e-05,2226,897.147 
52,52,0.00688093,6.87832e-05,2441,910.24 
53,53,0.00664852,6.61456e-05,2792,924.927 
54,54,0.00645334,6.45225e-05,3063,940.929 
55,55,0.00628848,6.26617e-05,2982,956.578 
56,56,0.00613647,6.10766e-05,2625,970.371 
57,57,0.00598481,5.94207e-05,2535,983.822 
58,58,0.0058872,5.88379e-05,2297,996.037 
59,59,0.00579023,5.75246e-05,2233,1007.98 
60,60,0.0056702,5.66431e-05,2184,1019.68 
61,61,0.00550433,5.47776e-05,2205,1031.5 
62,62,0.00531194,5.28444e-05,2218,1043.4 
63,63,0.00507515,5.073e-05,2156,1054.91 
64,64,0.0048446,4.8432e-05,2168,1066.48 
65,65,0.00465996,4.65653e-05,2239,1078.56 
66,66,0.00451753,4.51489e-05,2497,1091.78 
67,67,0.00439609,4.38309e-05,2642,1105.7 
68,68,0.00430752,4.30097e-05,2702,1119.98 
69,69,0.00421657,4.21296e-05,2739,1134.44 
70,70,0.00412579,4.11876e-05,2654,1148.44 
71,71,0.00402425,4.02085e-05,2566,1162.02 
72,72,0.00392839,3.92753e-05,2562,1175.23 
73,73,0.00384782,3.84592e-05,2554,1188.74 
74,74,0.00375515,3.74431e-05,2432,1201.69 
75,75,0.00366146,3.65192e-05,2389,1214.41 
76,76,0.00358116,3.5786e-05,2378,1226.99 
77,77,0.00350708,3.49764e-05,2357,1239.58 
78,78,0.00343642,3.41732e-05,2496,1252.87 
79,79,0.00337289,3.36631e-05,2381,1265.57 
80,80,0.00330873,3.28597e-05,2547,1279.19 
81,81,0.00325312,3.22639e-05,2235,1291.13 
82,82,0.00320008,3.18863e-05,2658,1305.25 
83,83,0.00313673,3.13339e-05,2472,1318.33 
84,84,0.00307137,3.06824e-05,2733,1332.68 
85,85,0.00301097,3.00704e-05,2638,1346.69 
86,86,0.00296463,2.96457e-05,3004,1362.41 
87,87,0.0029371,2.92019e-05,3015,1378.3 
88,88,0.00290931,2.89549e-05,3236,1395.2 
89,89,0.00288397,2.87775e-05,3451,1413.01 
90,90,0.00285286,2.84433e-05,3249,1430 
91,91,0.00282881,2.82808e-05,3207,1446.55 
92,92,0.00280205,2.79795e-05,3061,1462.62 
93,93,0.00278117,2.77139e-05,3024,1478.6 
94,94,0.00275673,2.7513e-05,3036,1494.52 
95,95,0.00274103,2.73247e-05,3124,1510.89 
96,96,0.00271024,2.70102e-05,3058,1526.98 
97,97,0.0026793,2.66452e-05,2916,1542.46 
98,98,0.00263931,2.63146e-05,2800,1557.29 
99,99,0.00259157,2.57305e-05,2920,1572.77 
100,100,0.00254579,2.5453e-05,3182,1589.46 
101,101,0.00250883,2.5085e-05,3971,1610.29 
102,102,0.00247009,2.46773e-05,3530,1628.77 
103,103,0.00243391,2.42054e-05,3530,1647.27 
104,104,0.00240826,2.40664e-05,3545,1665.77 
105,105,0.00239089,2.38826e-05,2626,1679.72 
106,106,0.00239047,2.38965e-05,3669,1698.87 
107,107,0.00238474,2.38215e-05,2492,1712.17 
108,108,0.00237956,2.37431e-05,2894,1727.52 
109,109,0.00236405,2.36373e-05,2789,1742.26 
110,110,0.00234304,2.34148e-05,2461,1755.34 
111,111,0.0023181,2.30303e-05,2481,1768.58 
112,112,0.00229484,2.29136e-05,2680,1782.69 
113,113,0.00227576,2.26931e-05,2826,1797.65 
114,114,0.00225784,2.25622e-05,2829,1812.54 
115,115,0.00224142,2.23934e-05,2862,1827.67 
116,116,0.00223033,2.22827e-05,2751,1842.22 
117,117,0.00221507,2.20767e-05,2733,1856.55 
118,118,0.00219194,2.1818e-05,2759,1871.11 
119,119,0.00215865,2.15613e-05,2798,1885.92 
120,120,0.00212375,2.12301e-05,2677,1900.12 
121,121,0.00208292,2.06592e-05,2654,1914.19 
122,122,0.00204497,2.03779e-05,2581,1927.91 
123,123,0.00201063,2.00382e-05,3273,1945.05 
124,124,0.00198367,1.97991e-05,3087,1961.25 
125,125,0.00196124,1.9514e-05,3301,1978.47 
126,126,0.0019307,1.92641e-05,3110,1994.77 
