Iteración,Time,Initial residual,Final residual,N_iterations,Exc_time
1,1,1,0.00971269,142,7.10673 
2,2,0.0731835,0.000730308,108,8.60611 
3,3,0.0525693,0.000510588,132,10.209 
4,4,0.0454076,0.000449001,126,11.7897 
5,5,0.0409251,0.000405685,128,13.3551 
6,6,0.0366108,0.000361449,127,14.9494 
7,7,0.0326832,0.000323453,123,16.5196 
8,8,0.0299553,0.000294148,83,17.8695 
9,9,0.0283038,0.000279035,96,19.2946 
10,10,0.0265204,0.000262716,89,20.6947 
11,11,0.0251995,0.000249286,87,22.0707 
12,12,0.0241973,0.000240097,85,23.4475 
13,13,0.0235115,0.000232736,83,24.802 
14,14,0.0231545,0.000226543,80,26.1656 
15,15,0.0227457,0.000224292,80,27.5058 
16,16,0.022297,0.000222078,82,28.8533 
17,17,0.0216695,0.00021331,87,30.2343 
18,18,0.0209315,0.000208651,86,31.624 
19,19,0.0202295,0.000201282,80,32.973 
20,20,0.0197184,0.000194618,75,34.2915 
21,21,0.0191834,0.000189288,74,35.605 
22,22,0.0186008,0.000182093,73,36.9388 
23,23,0.0179696,0.000176188,74,38.2799 
24,24,0.0173344,0.000169579,76,39.6063 
25,25,0.0167369,0.000166337,75,40.9401 
26,26,0.0162351,0.000158643,76,42.2722 
27,27,0.0158164,0.000157102,76,43.6029 
28,28,0.0154071,0.00015198,74,44.9368 
29,29,0.0148787,0.000147354,71,46.2689 
30,30,0.0144029,0.000142438,71,47.5862 
31,31,0.0139339,0.00013887,74,48.9161 
32,32,0.0135243,0.000135049,82,50.2642 
33,33,0.013123,0.000129076,81,51.5848 
34,34,0.012762,0.000127353,78,52.9173 
35,35,0.0123933,0.000123537,74,54.2377 
36,36,0.0119965,0.000119867,82,55.6096 
37,37,0.0116165,0.000115567,71,56.9073 
38,38,0.0112356,0.000111894,81,58.2688 
39,39,0.0108229,0.000106941,52,59.49 
40,40,0.0104038,0.000104029,67,60.7764 
41,41,0.0100274,9.9817e-05,60,62.0274 
42,42,0.00969552,9.62489e-05,61,63.2679 
