Iteración,Time,Initial residual,Final residual,N_iterations,Exc_time
1,1,1,0.00988256,57,6.87985 
2,2,0.0730708,0.000707012,43,8.14665 
3,3,0.0526033,0.000511875,53,9.53149 
4,4,0.0455117,0.000440188,50,10.8741 
5,5,0.0410376,0.000408103,51,12.2297 
6,6,0.0366846,0.000342783,52,13.6381 
7,7,0.0326705,0.000319554,49,15.0558 
8,8,0.0299983,0.000296375,33,16.2694 
9,9,0.0283697,0.000280492,36,17.5183 
10,10,0.0265978,0.000251617,36,18.7685 
11,11,0.0252222,0.000250588,34,20.0517 
12,12,0.0241941,0.000234335,34,21.2528 
13,13,0.0234932,0.000219735,34,22.4986 
14,14,0.0231426,0.000229747,31,23.6611 
15,15,0.0227142,0.000226332,32,24.8707 
16,16,0.0222815,0.000216184,33,26.0816 
17,17,0.0216642,0.00020511,34,27.3081 
18,18,0.0209524,0.000196725,34,28.591 
19,19,0.0202545,0.000192902,32,29.8269 
20,20,0.0197376,0.00019556,30,31.0385 
21,21,0.0192007,0.000182413,30,32.221 
22,22,0.0186106,0.000176028,29,33.4446 
23,23,0.0179804,0.000177396,29,34.6222 
24,24,0.0173473,0.000164802,30,35.7898 
25,25,0.0167464,0.000157828,30,36.9367 
26,26,0.0162414,0.000152217,30,38.1583 
27,27,0.0158124,0.000152473,30,39.3887 
28,28,0.015408,0.000148577,29,40.6406 
29,29,0.0148822,0.000144419,28,41.853 
30,30,0.014412,0.000137457,28,43.036 
31,31,0.0139354,0.000134803,28,44.2365 
32,32,0.0135162,0.000131628,29,45.4372 
33,33,0.013092,0.000129135,29,46.6397 
34,34,0.0127183,0.000125045,29,47.7968 
35,35,0.012352,0.000121405,28,48.9838 
36,36,0.0119369,0.000114387,29,50.2091 
37,37,0.011531,0.000114187,29,51.3703 
38,38,0.0111455,0.000110765,26,52.6599 
39,39,0.0107274,0.000106001,31,53.9836 
40,40,0.0103476,9.73643e-05,21,55.1034 
41,41,0.00996892,9.5611e-05,26,56.3083 
42,42,0.00967419,9.21965e-05,25,57.4721 
43,43,0.0094013,9.27465e-05,24,58.6408 
44,44,0.00912926,8.71527e-05,24,59.8057 
45,45,0.00887324,8.68022e-05,24,60.9729 
46,46,0.00860856,8.0523e-05,26,62.1494 
47,47,0.0083018,8.23324e-05,29,63.3724 
48,48,0.00801242,7.88763e-05,29,64.5551 
49,49,0.00773331,7.35545e-05,26,65.7052 
50,50,0.007495,7.42374e-05,24,66.8108 
51,51,0.00723925,6.9499e-05,25,67.9799 
52,52,0.00698237,6.73459e-05,27,69.1775 
53,53,0.00676098,6.68916e-05,33,70.4033 
54,54,0.00657905,6.33093e-05,35,71.6739 
55,55,0.00643161,6.10277e-05,34,72.892 
56,56,0.00630042,6.09973e-05,33,74.1256 
57,57,0.00619743,6.058e-05,31,75.3477 
58,58,0.00610873,5.91219e-05,29,76.5339 
59,59,0.00603549,6.03378e-05,26,77.678 
60,60,0.00593911,5.81212e-05,26,78.8516 
61,61,0.00579761,5.56471e-05,26,80.0332 
62,62,0.00562296,5.29848e-05,26,81.2156 
63,63,0.00542356,5.39112e-05,25,82.3845 
64,64,0.00522136,5.15641e-05,27,83.5614 
65,65,0.00503249,4.84992e-05,29,84.7329 
66,66,0.00487149,4.81751e-05,28,85.9138 
67,67,0.00473401,4.40907e-05,29,87.1086 
68,68,0.0046267,4.37133e-05,28,88.2684 
69,69,0.00451128,4.17879e-05,28,89.4976 
70,70,0.00441395,4.3832e-05,25,90.6721 
71,71,0.00431272,4.10657e-05,27,91.8477 
72,72,0.00422113,4.10069e-05,25,93.0226 
73,73,0.00410996,4.06721e-05,25,94.1537 
74,74,0.00399465,3.95425e-05,24,95.3216 
75,75,0.00387968,3.62554e-05,23,96.4403 
76,76,0.00378453,3.43531e-05,23,97.5743 
77,77,0.00370203,3.32595e-05,23,98.6901 
78,78,0.00363087,3.49527e-05,23,99.8167 
79,79,0.00356192,3.24711e-05,24,100.964 
80,80,0.00349612,3.25116e-05,24,102.117 
81,81,0.00343289,3.22533e-05,24,103.229 
82,82,0.00336063,3.34261e-05,25,104.377 
83,83,0.00327582,3.26944e-05,35,105.596 
84,84,0.00319181,2.92725e-05,17,106.675 
85,85,0.00310228,3.07447e-05,38,107.946 
86,86,0.00303366,2.78787e-05,19,109.04 
87,87,0.00296954,2.9644e-05,32,110.238 
88,88,0.00291449,2.72342e-05,20,111.357 
89,89,0.00286666,2.84442e-05,26,112.543 
90,90,0.00282392,2.79232e-05,23,113.676 
91,91,0.00279594,2.71761e-05,23,114.819 
92,92,0.00278046,2.74368e-05,24,115.981 
93,93,0.00276449,2.7378e-05,27,117.147 
94,94,0.00274997,2.7165e-05,30,118.328 
95,95,0.00274093,2.73557e-05,35,119.57 
96,96,0.00272632,2.61558e-05,39,120.848 
97,97,0.00269286,2.63545e-05,36,122.053 
98,98,0.00264366,2.63293e-05,35,123.277 
99,99,0.00259559,2.39226e-05,35,124.517 
100,100,0.00256142,2.50787e-05,33,125.78 
101,101,0.00252241,2.47379e-05,21,127.186 
102,102,0.00249817,2.3986e-05,28,128.393 
103,103,0.00247863,2.36165e-05,28,129.574 
104,104,0.00244765,2.44471e-05,33,130.816 
105,105,0.00241207,2.35299e-05,34,132.046 
106,106,0.00237352,2.36067e-05,26,133.224 
107,107,0.00234152,2.27029e-05,37,134.5 
108,108,0.0023061,2.25876e-05,20,135.619 
109,109,0.00227043,2.17296e-05,38,136.892 
110,110,0.00223205,2.05305e-05,19,137.999 
111,111,0.00219049,2.10341e-05,22,139.151 
112,112,0.00215474,2.14045e-05,25,140.27 
113,113,0.00212512,2.10908e-05,20,141.387 
114,114,0.00210074,2.09826e-05,25,142.528 
115,115,0.00208138,1.98712e-05,28,143.7 
116,116,0.00205809,1.89365e-05,34,144.877 
117,117,0.00203191,1.9514e-05,35,146.116 
118,118,0.00200636,1.90573e-05,37,147.412 
119,119,0.00198419,1.97683e-05,32,148.625 
120,120,0.00196761,1.89166e-05,39,149.919 
121,121,0.00195321,1.88972e-05,25,151.063 
122,122,0.00194177,1.86908e-05,39,152.31 
123,123,0.00194449,1.85559e-05,23,153.451 
124,124,0.00193982,1.86857e-05,36,154.713 
125,125,0.00193656,1.90458e-05,21,155.884 
126,126,0.00192463,1.86454e-05,34,157.14 
127,127,0.00191367,1.87666e-05,25,158.325 
128,128,0.00190399,1.74244e-05,34,159.556 
129,129,0.00189176,1.8495e-05,19,160.651 
130,130,0.00188079,1.84221e-05,27,161.838 
131,131,0.00186758,1.75517e-05,24,162.975 
132,132,0.00185835,1.81097e-05,24,164.115 
133,133,0.00185382,1.79529e-05,28,165.297 
134,134,0.00185052,1.83698e-05,28,166.481 
135,135,0.00186022,1.75792e-05,38,167.754 
136,136,0.00187258,1.79836e-05,26,168.939 
137,137,0.00188193,1.88086e-05,43,170.276 
138,138,0.00189557,1.84556e-05,25,171.441 
139,139,0.00189909,1.85109e-05,44,172.712 
140,140,0.00190784,1.82154e-05,22,173.865 
141,141,0.00191305,1.9059e-05,37,175.105 
142,142,0.00192189,1.91654e-05,30,176.309 
143,143,0.00192481,1.89129e-05,31,177.517 
144,144,0.00191731,1.88361e-05,27,178.71 
145,145,0.00189784,1.82931e-05,34,179.978 
146,146,0.00188085,1.84143e-05,26,181.155 
147,147,0.00186229,1.82243e-05,36,182.365 
148,148,0.00185086,1.83417e-05,23,183.52 
149,149,0.00183095,1.76115e-05,39,184.839 
150,150,0.00183349,1.70242e-05,21,185.943 
151,151,0.00183128,1.80348e-05,25,187.106 
152,152,0.00184368,1.80216e-05,26,188.259 
153,153,0.00184885,1.81662e-05,23,189.418 
154,154,0.0018514,1.82701e-05,26,190.577 
155,155,0.00185303,1.83163e-05,30,191.779 
156,156,0.00186407,1.85752e-05,24,192.927 
157,157,0.00186554,1.79804e-05,35,194.147 
158,158,0.00187627,1.78578e-05,24,195.295 
159,159,0.00188077,1.8093e-05,34,196.526 
160,160,0.00188523,1.85003e-05,25,197.693 
161,161,0.00188759,1.76037e-05,27,198.879 
162,162,0.00188591,1.82165e-05,26,200.065 
163,163,0.00186972,1.85697e-05,24,201.197 
164,164,0.00184778,1.80991e-05,26,202.383 
165,165,0.0018175,1.8067e-05,26,203.505 
166,166,0.00179034,1.75005e-05,27,204.69 
167,167,0.00177445,1.72788e-05,28,205.852 
168,168,0.00176041,1.68849e-05,27,207.022 
169,169,0.00175532,1.72012e-05,26,208.187 
170,170,0.00174857,1.70255e-05,26,209.372 
171,171,0.00173992,1.70314e-05,27,210.539 
172,172,0.00172923,1.64872e-05,27,211.737 
173,173,0.00171253,1.60934e-05,27,212.93 
174,174,0.00169612,1.6419e-05,26,214.102 
175,175,0.00167474,1.65255e-05,26,215.27 
176,176,0.00165495,1.65267e-05,26,216.417 
177,177,0.0016381,1.58423e-05,29,217.592 
178,178,0.00162561,1.59139e-05,27,218.804 
179,179,0.00160543,1.51318e-05,29,220.02 
180,180,0.001595,1.57802e-05,26,221.191 
181,181,0.00158598,1.56751e-05,26,222.385 
182,182,0.00158353,1.58041e-05,25,223.535 
183,183,0.0015824,1.53157e-05,25,224.693 
184,184,0.00157631,1.5092e-05,27,225.856 
185,185,0.00156765,1.55256e-05,28,227.041 
186,186,0.00155896,1.44961e-05,29,228.237 
187,187,0.0015537,1.51484e-05,29,229.439 
188,188,0.00153848,1.44393e-05,29,230.627 
189,189,0.00152563,1.48287e-05,25,231.771 
190,190,0.00151611,1.51125e-05,27,232.978 
191,191,0.00150702,1.45952e-05,26,234.161 
192,192,0.00149942,1.46771e-05,27,235.36 
193,193,0.00150227,1.43004e-05,27,236.541 
194,194,0.00150948,1.48595e-05,27,237.734 
195,195,0.00153159,1.48948e-05,28,238.929 
196,196,0.0015642,1.53577e-05,29,240.097 
197,197,0.00159277,1.5725e-05,33,241.356 
198,198,0.00161294,1.58156e-05,21,242.499 
199,199,0.00163333,1.62069e-05,31,243.733 
200,200,0.00165092,1.51322e-05,27,244.934 
201,201,0.00166991,1.58699e-05,29,246.396 
202,202,0.00169196,1.67365e-05,30,247.589 
203,203,0.00171448,1.69042e-05,34,248.838 
204,204,0.00173077,1.72258e-05,37,250.107 
205,205,0.00174374,1.72446e-05,39,251.384 
206,206,0.00174676,1.68597e-05,40,252.682 
207,207,0.00174467,1.73761e-05,30,253.895 
208,208,0.00173522,1.70465e-05,39,255.18 
209,209,0.00173037,1.70279e-05,27,256.377 
210,210,0.00172058,1.69621e-05,39,257.691 
211,211,0.00172604,1.69316e-05,28,258.886 
212,212,0.00173465,1.72737e-05,36,260.182 
213,213,0.0017431,1.69052e-05,29,261.398 
214,214,0.00174358,1.67071e-05,39,262.712 
215,215,0.00174293,1.6947e-05,25,263.894 
216,216,0.0017397,1.6925e-05,36,265.165 
217,217,0.001744,1.72738e-05,25,266.348 
218,218,0.00174381,1.65735e-05,28,267.553 
219,219,0.00174385,1.65888e-05,26,268.758 
220,220,0.00174217,1.72485e-05,24,269.912 
221,221,0.00173618,1.6862e-05,23,271.051 
222,222,0.00173063,1.62856e-05,23,272.204 
223,223,0.00172589,1.71584e-05,24,273.352 
224,224,0.00172645,1.72198e-05,39,274.646 
225,225,0.00172414,1.69769e-05,22,275.789 
226,226,0.00171969,1.69579e-05,25,276.959 
227,227,0.00170694,1.67808e-05,25,278.125 
228,228,0.00168701,1.67876e-05,34,279.354 
229,229,0.00165942,1.63292e-05,26,280.532 
230,230,0.00162739,1.57407e-05,36,281.79 
231,231,0.00161263,1.58995e-05,27,282.941 
232,232,0.00160292,1.58053e-05,36,284.186 
233,233,0.00161174,1.60449e-05,27,285.391 
234,234,0.00162161,1.5953e-05,30,286.607 
235,235,0.0016277,1.62613e-05,28,287.836 
236,236,0.00163162,1.61275e-05,28,289.001 
237,237,0.00164147,1.63052e-05,27,290.187 
238,238,0.00164248,1.63742e-05,27,291.365 
239,239,0.0016447,1.59087e-05,27,292.577 
240,240,0.00164755,1.48818e-05,27,293.732 
241,241,0.00165387,1.64283e-05,25,294.907 
242,242,0.00166034,1.62258e-05,26,296.096 
243,243,0.00166293,1.64128e-05,29,297.3 
244,244,0.00165834,1.65198e-05,29,298.528 
245,245,0.00164037,1.61565e-05,29,299.708 
246,246,0.00162838,1.55049e-05,27,300.897 
247,247,0.00160734,1.51608e-05,27,302.076 
248,248,0.00158639,1.4799e-05,26,303.257 
249,249,0.00157309,1.56623e-05,24,304.416 
250,250,0.00156347,1.49593e-05,26,305.596 
251,251,0.00155493,1.48089e-05,33,306.815 
252,252,0.0015518,1.52245e-05,35,308.077 
253,253,0.00155287,1.48685e-05,35,309.334 
254,254,0.00156165,1.47821e-05,35,310.558 
255,255,0.00157371,1.49934e-05,33,311.817 
256,256,0.0015822,1.5709e-05,31,313.04 
257,257,0.00158497,1.58168e-05,30,314.233 
258,258,0.00158599,1.56032e-05,32,315.459 
259,259,0.00157799,1.56314e-05,36,316.732 
260,260,0.00158122,1.57475e-05,31,317.94 
261,261,0.00157975,1.57319e-05,37,319.258 
262,262,0.00158169,1.5293e-05,22,320.41 
263,263,0.0015818,1.54969e-05,26,321.589 
264,264,0.00158432,1.54689e-05,25,322.762 
265,265,0.00157593,1.53023e-05,25,323.936 
266,266,0.00155676,1.52807e-05,25,325.116 
267,267,0.00152474,1.51776e-05,26,326.305 
268,268,0.00149359,1.45721e-05,24,327.456 
269,269,0.0014661,1.43042e-05,23,328.602 
270,270,0.0014401,1.27895e-05,23,329.743 
271,271,0.00141984,1.39605e-05,23,330.892 
272,272,0.00141514,1.37462e-05,25,332.031 
273,273,0.00141551,1.4137e-05,28,333.239 
274,274,0.0014225,1.37084e-05,30,334.45 
275,275,0.00144207,1.4188e-05,27,335.636 
