Iteración,Time,Initial residual,Final residual,N_iterations,Exc_time
1,1,1,0.00997973,7402,46.7306 
2,2,0.0759501,0.000754936,6888,83.7938 
3,3,0.051665,0.000512075,5915,116.247 
4,4,0.0448802,0.000446402,5506,146.288 
5,5,0.0406354,0.000405112,5179,174.505 
6,6,0.0365969,0.000364222,4976,201.512 
7,7,0.0327342,0.00032559,4783,227.586 
8,8,0.029978,0.000299358,3401,246.478 
9,9,0.0281003,0.000278494,3484,265.815 
10,10,0.0263905,0.000262677,3656,286.057 
11,11,0.0251201,0.0002502,4066,308.608 
12,12,0.0242201,0.000242009,4196,331.719 
13,13,0.0236558,0.000236477,3908,353.226 
14,14,0.0232407,0.000232049,3350,372.319 
15,15,0.022713,0.000226645,3234,390.638 
16,16,0.0221922,0.000221447,3147,408.397 
17,17,0.0215555,0.000215391,3133,426.015 
18,18,0.020822,0.000208209,3115,443.711 
19,19,0.0201442,0.000198906,3040,460.749 
20,20,0.0196399,0.000195598,2990,477.809 
21,21,0.0191119,0.000190727,2954,494.613 
22,22,0.0185121,0.000184599,2927,511.388 
23,23,0.0179022,0.000178885,3119,528.919 
24,24,0.0172918,0.000171788,3191,546.767 
25,25,0.0167144,0.000166811,3133,564.431 
26,26,0.0162274,0.000161844,3039,581.599 
27,27,0.0157927,0.000157666,3007,598.597 
28,28,0.0153686,0.000153569,2964,615.309 
29,29,0.0148621,0.000148469,2969,631.929 
30,30,0.0143924,0.000143416,3017,649.137 
31,31,0.0139425,0.000139112,3082,666.314 
32,32,0.0135329,0.000134783,3074,683.701 
33,33,0.0131121,0.000131011,3206,702.01 
34,34,0.0127713,0.000127669,3263,720.479 
35,35,0.0124346,0.000124311,2976,737.401 
36,36,0.0120438,0.000120231,2956,754.301 
37,37,0.0116746,0.000116665,2892,770.916 
38,38,0.0113005,0.000112942,2634,786.053 
39,39,0.0108678,0.000108627,2488,800.395 
40,40,0.0104579,0.000104503,2388,814.117 
41,41,0.0100728,0.00010007,2404,828.115 
42,42,0.00973498,9.67629e-05,2379,841.879 
43,43,0.00944962,9.41073e-05,2316,855.323 
44,44,0.00915571,9.13656e-05,2306,868.491 
45,45,0.00887079,8.85289e-05,2417,882.258 
46,46,0.00856581,8.5636e-05,2478,896.341 
47,47,0.00825773,8.17517e-05,2549,910.708 
48,48,0.00794115,7.89523e-05,2549,925.389 
49,49,0.00765852,7.61285e-05,2384,939.091 
50,50,0.00740434,7.37385e-05,2211,951.862 
51,51,0.00714886,7.11917e-05,2182,964.574 
52,52,0.00690101,6.86181e-05,2334,977.868 
53,53,0.00666428,6.63922e-05,2710,992.974 
54,54,0.00648083,6.455e-05,2987,1009.43 
55,55,0.006325,6.31487e-05,2985,1026.03 
56,56,0.00616293,6.15013e-05,2575,1040.37 
57,57,0.00603378,6.03156e-05,2522,1054.52 
58,58,0.00594145,5.9074e-05,2289,1067.36 
59,59,0.00584261,5.82257e-05,2238,1079.96 
60,60,0.00572215,5.67978e-05,2193,1092.32 
61,61,0.00556322,5.52855e-05,2203,1104.75 
62,62,0.00535075,5.35043e-05,2193,1117.06 
63,63,0.00513623,5.09809e-05,2125,1129.27 
64,64,0.00490234,4.88889e-05,2165,1141.5 
65,65,0.00471744,4.67094e-05,2302,1154.5 
66,66,0.00456002,4.55432e-05,2551,1168.71 
67,67,0.0044591,4.45621e-05,2690,1183.72 
68,68,0.00436351,4.35785e-05,2699,1198.8 
69,69,0.00426937,4.24842e-05,2677,1213.7 
70,70,0.00416894,4.14801e-05,2575,1227.96 
71,71,0.00407293,4.04383e-05,2540,1242.09 
72,72,0.00396528,3.96064e-05,2476,1255.97 
73,73,0.00387305,3.86926e-05,2501,1269.96 
74,74,0.00377515,3.75219e-05,2407,1290.57 
75,75,0.00367596,3.65995e-05,2418,1304.02 
76,76,0.00358971,3.58509e-05,2402,1317.43 
77,77,0.00350683,3.50516e-05,2295,1330.46 
78,78,0.00343299,3.43035e-05,2443,1344.11 
79,79,0.00336381,3.33644e-05,2275,1356.99 
80,80,0.00330238,3.30048e-05,2458,1370.76 
81,81,0.00324749,3.24195e-05,2301,1383.73 
82,82,0.00319359,3.18535e-05,2473,1397.61 
83,83,0.00314014,3.13657e-05,2575,1412.08 
84,84,0.00307936,3.0568e-05,2838,1427.82 
85,85,0.0030237,3.02101e-05,3011,1444.44 
86,86,0.00298481,2.97911e-05,2893,1460.47 
87,87,0.00296356,2.96097e-05,3021,1477.24 
88,88,0.00294608,2.94333e-05,3049,1497.12 
